generation,best_cost,mean_cost,overall_best_cost,open_locations,avg_distance_km,city_bounce_rate
76,2090847.5069372891,3262683.0150449383,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
77,2090847.5069372891,3257940.8936499935,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
78,2090847.5069372891,3342517.1645393027,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
79,2090847.5069372891,3208135.584442206,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
80,2090847.5069372891,3743192.8474578336,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
81,2090847.5069372891,3358976.06888477,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
82,2090847.5069372891,4190825.9999782257,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
83,2090847.5069372891,3441803.56360117,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
84,2090847.5069372891,3544919.189385221,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
85,2090847.5069372891,3225597.661855287,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
86,2090847.5069372891,3394173.2404261064,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
87,2090847.5069372891,3362873.5992595726,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
88,2090847.5069372891,3493358.074345651,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
89,2090847.5069372891,3665797.352806485,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
90,2090847.5069372891,3479192.589346476,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
91,2090847.5069372891,3470153.629920913,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
92,2090847.5069372891,4241145.928165052,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
93,2090847.5069372891,3332240.6256279517,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
94,2090847.5069372891,3379968.633427946,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
95,2090847.5069372891,3272683.6718650633,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
96,2090847.5069372891,3292878.4623990483,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
97,2090847.5069372891,3395009.059186281,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
98,2090847.5069372891,3542721.909911066,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
99,2090847.5069372891,3383200.3429084234,2090847.5069372891,21,0.8528995140755765,0.0005990694043208763
