"CBS_square","x","y","Population","nearest_SP_straightline","dist_straightline_km","nearest_SP_network","dist_network_km","detour_factor"
"E1775N3210",75625.41661,79593.93,NA,7859,16.5416885475983,7859,2.17767740767,0.131647830353219
"E1775N3215",75625.41661,84213.095,NA,7859,20.9525067707869,7859,2.43795734688,0.116356356475643
"E1780N3125",82820.33327,1068.125,NA,284,16.0014179055181,284,1.62090371856,0.101297505516748
"E1780N3130",82820.33327,5687.29,85,284,14.3623044482948,284,2.82707237227,0.19683974688377
"E1780N3135",82820.33327,10306.455,35,417,14.0341139044556,284,1.46006810859,0.104037071277186
"E1780N3140",82820.33327,14925.62,145,417,11.2462206963321,284,2.0326584463,0.180741468728507
"E1780N3145",82820.33327,19544.785,95,417,9.9333769390089,753,1.66750149435,0.167868541039818
"E1780N3150",82820.33327,24163.95,405,718,7.07790428576912,718,0.8443345155,0.119291598389883
"E1780N3155",82820.33327,28783.115,290,718,6.10942207571501,753,1.24087975269,0.203109187303085
"E1780N3160",82820.33327,33402.28,205,1176,6.95116023938514,753,1.657138283493,0.238397364817414
"E1780N3165",82820.33327,38021.445,140,1176,6.95571899326258,7229,3.842685000308,0.552449718574037
"E1780N3170",82820.33327,42640.61,605,2155,6.32958932945802,2155,0.75573350479,0.119396925369676
"E1780N3175",82820.33327,47259.775,2155,7229,5.56814068623036,7229,0.717887243118,0.128927640943643
"E1780N3180",82820.33327,51878.94,2305,7229,7.85769796534767,7229,1.074822008449,0.136785864408246
"E1780N3185",82820.33327,56498.105,130,7229,11.6256618960838,5820,2.042245287655,0.175667011986901
"E1780N3190",82820.33327,61117.27,945,7859,13.0423581459117,7859,1.494070711336,0.114555258690265
"E1780N3195",82820.33327,65736.435,675,7859,12.8370441925918,7859,1.653292622723,0.128790755715955
"E1780N3200",82820.33327,70355.6,15,7859,14.2179348638728,7859,2.0452827772,0.143852310253368
"E1780N3205",82820.33327,74974.765,NA,7859,16.7983038006387,7859,1.89591995188,0.112863773294058
"E1780N3210",82820.33327,79593.93,NA,7859,20.1218716812882,7859,2.65340112697,0.131866516644048
"E1780N3215",82820.33327,84213.095,NA,7859,23.8803224419679,7859,2.97463507529,0.124564275985751
"E1780N3220",82820.33327,88832.26,10,7859,27.8984453061623,7859,3.759354964624,0.134751414402064
"E1785N3125",90015.24994,1068.125,125,284,10.2928142239222,284,1.63735019695,0.15907701832843
"E1785N3130",90015.24994,5687.29,320,284,7.49482746476862,284,0.84627066272,0.112913961888798
"E1785N3135",90015.24994,10306.455,NA,284,7.00544241283697,284,1.64206396469,0.2343983246056
"E1785N3140",90015.24994,14925.62,10,417,5.97161979470813,284,0.96242864678,0.16116710036243
"E1785N3145",90015.24994,19544.785,1600,417,2.80263098433865,417,0.30920197183,0.11032560959964
"E1785N3150",90015.24994,24163.95,2380,718,3.86886897248408,718,0.524525153664,0.135575838156964
"E1785N3155",90015.24994,28783.115,1865,718,1.48204458332906,931,0.456488513973,0.308012673240645
"E1785N3160",90015.24994,33402.28,1265,1176,2.38900259199315,931,0.335546177923,0.140454505594761
"E1785N3165",90015.24994,38021.445,1425,1176,2.40223467300241,1176,0.35462173881,0.147621605330831
"E1785N3170",90015.24994,42640.61,2030,2155,2.09482826513535,2155,0.364699487267,0.174095172065781
"E1785N3175",90015.24994,47259.775,1215,2155,3.05946161586234,2155,0.393380933853,0.128578483159731
"E1785N3180",90015.24994,51878.94,670,2155,7.55021032103808,2155,1.077337783183,0.142689771194993
"E1785N3185",90015.24994,56498.105,440,5820,9.77827375412731,5820,1.370713744375,0.140179522361647
"E1785N3190",90015.24994,61117.27,275,5820,8.18144084575144,5820,1.1075578911,0.135374430003383
"E1785N3195",90015.24994,65736.435,90,5820,8.99614815400764,5820,2.588144400867,0.287694728517118
"E1785N3200",90015.24994,70355.6,30,5820,11.7302497628836,7859,2.602787655843,0.221886806202426
"E1785N3205",90015.24994,74974.765,NA,5820,15.3928622414694,7859,2.789381848244,0.181212681857778
"E1785N3210",90015.24994,79593.93,NA,5820,19.4667672474022,7859,3.29388805113,0.169205703713829
"E1785N3215",90015.24994,84213.095,NA,5820,23.7411713430204,7859,3.849321647124,0.162136972582679
"E1785N3220",90015.24994,88832.26,15,5820,28.124807146134,7859,4.191575892274,0.149034831438841
"E1790N3130",97210.16661,5687.29,915,284,3.09882883752538,284,0.621316941967,0.200500567970435
"E1790N3135",97210.16661,10306.455,490,284,1.58320082023851,284,0.46216970375,0.291921086599976
"E1790N3140",97210.16661,14925.62,25,284,6.17119762319915,284,0.63105093574,0.10225745054213
"E1790N3145",97210.16661,19544.785,100,417,4.5355435432596,417,0.2612232679,0.0575946996007151
"E1790N3150",97210.16661,24163.95,100,417,5.95306839277686,417,0.6152524693,0.103350478896986
"E1790N3155",97210.16661,28783.115,675,931,5.55673221093692,931,0.894414023821,0.160960433194997
"E1790N3160",97210.16661,33402.28,975,1204,2.948053481706,1204,0.25458551694,0.0863571568561484
"E1790N3165",97210.16661,38021.445,1560,1204,2.34180455004765,1204,0.2175694142,0.0929067347638268
"E1790N3170",97210.16661,42640.61,1040,2096,4.76486203300986,2096,0.39983787451,0.0839138408919326
"E1790N3175",97210.16661,47259.775,630,2096,5.68206272247534,2096,0.649235895898,0.114260599998299
"E1790N3180",97210.16661,51878.94,195,2096,9.19462527594893,2096,1.353373770686,0.147191835454798
"E1790N3185",97210.16661,56498.105,1005,5820,5.49623936944379,5820,0.675187840175,0.122845421167188
"E1790N3190",97210.16661,61117.27,1300,5820,1.23692518290271,5820,0.20150338351,0.162906686916285
"E1790N3195",97210.16661,65736.435,1190,5820,3.94013847528534,5820,0.503019348472,0.127665398469421
"E1790N3200",97210.16661,70355.6,65,5820,8.49663280924855,5820,6.78700334621,0.798787413623709
"E1790N3205",97210.16661,74974.765,30,5820,13.0971072218419,5820,2.416006447955,0.184468708015603
"E1790N3210",97210.16661,79593.93,5,5820,17.7073159078416,5820,3.242451529046,0.183113665895016
"E1790N3215",97210.16661,84213.095,70,5820,22.3212281547012,7859,3.7833664887,0.169496340545364
"E1790N3220",97210.16661,88832.26,160,5820,26.9369409288211,5820,4.742571100229,0.176061977964049
"E1795N3130",104405.0833,5687.29,85,284,8.15884144230288,284,0.72511964865,0.0888753205682266
"E1795N3135",104405.0833,10306.455,75,284,7.71171046873285,284,0.721900097856,0.0936108922635187
"E1795N3150",104405.0833,24163.95,NA,417,12.3162124994269,417,1.44390693745,0.117236280026606
"E1795N3160",104405.0833,33402.28,70,1204,6.48614183760569,1204,0.50477804588,0.0778240837956043
"E1795N3165",104405.0833,38021.445,420,1204,6.23402479600169,1204,0.63405736898,0.101709150946378
